[490.866990260288,434.381547791301,50.3001644344313].
[491.013910476929,434.43333061643,50.2888382511792].
[491.385520138177,434.518706061676,50.2453141178893].
[491.82422298894,434.570488886805,50.2189153966116].
[492.051490001265,434.582043196869,50.2130250457052].
[492.097159131353,434.582043196869,50.2130250457052].
[492.144447838567,434.562650636264,50.246539905707].
[492.356381120838,434.475739209356,50.3967430874711].
[492.705800031287,434.332446491145,50.6443862681723].
[492.940329976282,434.276752909033,50.7702537388751].
[493.088889899854,434.397269022252,50.6947035085944].
[493.255857908374,434.627939428741,50.5148855743549].
[493.357129124732,434.767848102565,50.4058204840724].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.334533657602,434.736631909512,50.4301549075258].
[493.131996583168,434.456821964463,50.6482793174323].
[492.798069400443,433.995493356308,51.007905671704].
[492.595532326009,433.715683411259,51.2260300816105].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.550340196155,433.653249373409,51.2747002161253].
[492.595532326009,433.715683411259,51.2260300816106].
[492.798069400443,433.995493356308,51.007905671704].
[493.131996583168,434.456821964463,50.6482793174323].
[493.334533657602,434.736631909512,50.4301549075258].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.379725787457,434.799065947362,50.381484773011].
[493.40232364587,434.830285444033,50.3571477742396].
[493.503600220937,434.970201521044,50.2480769128406].
[493.670577064473,435.200884133325,50.0682494636385].
[493.771853639539,435.340800210336,49.9591786022395].
[493.794451497953,435.372019707006,49.934841603468].
[493.817050552151,435.403240855683,49.9105033168841].
[493.918332486352,435.543164336468,49.8014266839106].
[494.085318165605,435.77385915551,49.6215897189908].
[494.186600099805,435.913782636296,49.5125130860173].
[494.209199154003,435.945003784972,49.4881747994334].
[494.209199154003,435.945003784972,49.4881747994334].
[494.209199154003,435.945003784972,49.4881747994334].
[494.209199154003,435.945003784972,49.4881747994334].
[494.209966874187,435.945126222589,49.4953770060132].
[494.213407557347,435.94567494992,49.5276550565244].
[494.219080284857,435.946579648343,49.580872564979].
